"av_code","codigo_antiguo","nombre","titulo_copy1","descripcion_copy2","texto_principal_copy3","url_meta","url_youtube"
"AV078","AV2730","FONTANEROS Y SOLDADORES","Arreglas lo que otros no saben… pero tu dinero sigue con fugas.","El esfuerzo no basta si no hay dirección.","Esta semana es para quienes trabajan duro y aún no ven frutos.","https://lainversionsiesparati.com/av078/?r={{ad.id}}","https://lainversionsiesparati.com/av078/?r=AY{creative}"
"AV079","AV2732","FUNCIONARIOS QUE BUSCAN RENTABILIDAD SIN RIESGO","Invertir no es arriesgarlo todo.","Has conseguido estabilidad donde otros solo sueñan.","Invertir no es arriesgarlo todo, es aprender cómo proteger lo que ya tienen y hacerlo crecer con cabeza.","https://lainversionsiesparati.com/av079/?r={{ad.id}}","https://lainversionsiesparati.com/av079/?r=AY{creative}"
"AV080","AV1806","GAMERS","Dominas los juegos… pero el nivel de tus finanzas sigue en modo principiante.","Esto no va de suerte ni de trucos.","Esta semana es para quienes quieren pasar al siguiente nivel de verdad.","https://lainversionsiesparati.com/av080/?r={{ad.id}}","https://lainversionsiesparati.com/av080/?r=AY{creative}"
"AV081","AV2733","GUARDIAS DE SEGURIDAD","Vigilas que todo esté en orden… pero tu estabilidad financiera sigue sin tener quien la proteja.","Estás pendiente de todo… menos de lo que pasa con tu dinero.","Esta semana es para quienes están siempre alerta… pero quieren dejar de vivir con el miedo al “qué pasará”.","https://lainversionsiesparati.com/av081/?r={{ad.id}}","https://lainversionsiesparati.com/av081/?r=AY{creative}"
"AV082","AV1904","INFLUENCERS","Generas visibilidad… pero tu dinero sigue invisible al largo plazo.","No se trata solo de crecer seguidores, también tu seguridad.","Esta semana es para quienes saben vender… pero aún no se compran tranquilidad.","https://lainversionsiesparati.com/av082/?r={{ad.id}}","https://lainversionsiesparati.com/av082/?r=AY{creative}"
"AV083","AV2737","JORNALEROS AGRÍCOLAS / TEMPOREROS","Sabes lo que cuesta que algo crezca… y con tu dinero, no lo consigues.","Tu trabajo alimenta al mundo. ¿Pero qué alimenta tu estabilidad?","Esta semana es para quienes cuidan la tierra… pero también quieren cuidar su futuro.","https://lainversionsiesparati.com/av083/?r={{ad.id}}","https://lainversionsiesparati.com/av083/?r=AY{creative}"
"AV084","AV0901","MAESTROS","Formas a otros para el futuro… pero tú vives con dudas sobre el tuyo.","La educación merece mucho más que sueldos ajustados y estrés constante.","Esta semana es para que aprendas la lección más importante: cuidar también de tu propio futuro.","https://lainversionsiesparati.com/av084/?r={{ad.id}}","https://lainversionsiesparati.com/av084/?r=AY{creative}"
"AV085","AV2740","MECÁNICOS Y TÉCNICOS DE AUTOMOCIÓN","Pasas el día arreglando coches… pero nadie te enseñó a poner en marcha tus finanzas.","Tu trabajo es clave para otros, ¿pero quién te ayuda a ti con tu economía?","Esta semana es para quienes ajustan motores a diario y quieren ajustar también su futuro financiero.","https://lainversionsiesparati.com/av085/?r={{ad.id}}","https://lainversionsiesparati.com/av085/?r=AY{creative}"
"AV086","AV1200","MIGRANTES (PAÍSES)","Saliste en busca de oportunidades.","Tu vida ha sido orden, compromiso y entrega.","La Semana de la Inversión es ese punto de partida.","https://lainversionsiesparati.com/av086/?r={{ad.id}}","https://lainversionsiesparati.com/av086/?r=AY{creative}"
"AV087","AV1910","MILITARES","Sirves a tu país. Ahora te toca servirte a ti.","Tu carrera se apoya en la imagen, pero tu libertad depende de lo que hagas con lo que ganas.","Con la Semana de la Inversión puedes empezar a construir un futuro sólido, paso a paso, con método y estrategia.","https://lainversionsiesparati.com/av087/?r={{ad.id}}","https://lainversionsiesparati.com/av087/?r=AY{creative}"
"AV088","AV2783","MILEURISTA","Nunca te alcanza con el sueldo que cobras… pero tampoco sabes cómo cambiar esa situación.","Tu sueldo no te define. Tu estrategia con él, sí.","Esta semana es para quienes viven al límite, pero no se quieren conformar con vivir para trabajar.","https://lainversionsiesparati.com/av088/?r={{ad.id}}","https://lainversionsiesparati.com/av088/?r=AY{creative}"
"AV089","AV1903","MODELOS","Tu imagen te abre puertas, pero tu inteligencia financiera las mantiene abiertas.","Has aprendido a adaptarte, pero no viniste a conformarte.","La Semana de la Inversión es tu oportunidad para transformar tu presente en un futuro sólido.","https://lainversionsiesparati.com/av089/?r={{ad.id}}","https://lainversionsiesparati.com/av089/?r=AY{creative}"
"AV090","AV0801","MÉDICOS","Tu vocación es salvar vidas… pero tu salud financiera sigue en espera.","El trabajo por el que tanto te esforzaste no debería hacerte vivir con incertidumbre.","Esta semana es para quienes lo dan todo por otros…pero quieren empezar a pensar en ellos.","https://lainversionsiesparati.com/av090/?r={{ad.id}}","https://lainversionsiesparati.com/av090/?r=AY{creative}"
"AV091","AV1901","MÚSICOS","Tu arte no está reñido con la inteligencia financiera.","Tienes la voz, el talento y la entrega.","La Semana de la Inversión puede ser tu backstage hacia la libertad.","https://lainversionsiesparati.com/av091/?r={{ad.id}}","https://lainversionsiesparati.com/av091/?r=AY{creative}"
"AV092","AV0803","NUTRICIONISTAS","Das soluciones a largo plazo… pero ¿y tú, ya pensaste en la tuya financiera?","No se trata de ganar más, sino de hacer que rinda.","Esta semana te enseña lo que no aprendiste en la consulta.","https://lainversionsiesparati.com/av092/?r={{ad.id}}","https://lainversionsiesparati.com/av092/?r=AY{creative}"
"AV093","AV2743","OBREROS DE LA CONSTRUCCIÓN","Das todo con tus manos… pero la tranquilidad nunca llega.","El esfuerzo físico no te da descanso futuro.","Esta semana es para quienes trabajan duro… y merecen algo más.","https://lainversionsiesparati.com/av093/?r={{ad.id}}","https://lainversionsiesparati.com/av093/?r=AY{creative}"
"AV094","AV2744","OFICINISTAS / ADMINISTRATIVOS","Si llevas años ordenando el trabajo de otros, ya toca pensar en ti.","El futuro no se organiza solo.","Esta semana te muestra una forma diferente de avanzar.","https://lainversionsiesparati.com/av094/?r={{ad.id}}","https://lainversionsiesparati.com/av094/?r=AY{creative}"
"AV095","AV2745","OPERADORES DE MAQUINARIA PESADA","Mueves toneladas con precisión… pero no sabes cómo mover tu dinero con estrategia.","La estabilidad que controlas con máquinas, aún no la logras en tu cuenta bancaria.","Esta semana es para quienes dominan máquinas enormes… pero quieren aprender a controlar su dinero.","https://lainversionsiesparati.com/av095/?r={{ad.id}}","https://lainversionsiesparati.com/av095/?r=AY{creative}"
"AV096","AV2746","OPERARIOS DE PRODUCCIÓN / FABRICACIÓN","Eres pieza clave del sistema… pero no ves recompensado tu esfuerzo en tu vida personal.","Tu valor no se mide solo en productividad. También en libertad y bienestar económico.","Esta semana es para quienes trabajan en cadena… pero quieren cortar con la rueda del “vivir al día”.","https://lainversionsiesparati.com/av096/?r={{ad.id}}","https://lainversionsiesparati.com/av096/?r=AY{creative}"
"AV097","AV0506","PADRES Y MADRES DE HIJOS ADOLESCENTES","Tus hijos crecen… y tus responsabilidades también.","Ahora que vuelan más solos, tú cargas con más peso.","Esta semana es para quienes guían a sus hijos hacia la vida adulta… y quieren asegurar un futuro estable para todos.","https://lainversionsiesparati.com/av097/?r={{ad.id}}","https://lainversionsiesparati.com/av097/?r=AY{creative}"
"AV098","AV0505","PADRES Y MADRES DE HIJOS EN EDAD ESCOLAR (6-12 AÑOS)","El cole empieza… y también los gastos, las dudas y la culpa por no llegar a todo.","Criarlos es una misión diaria. Planear su futuro, una urgencia silenciosa.","Esta semana es para quienes sostienen el ritmo escolar… y buscan cómo darles una verdadera libertad a sus hijos.","https://lainversionsiesparati.com/av098/?r={{ad.id}}","https://lainversionsiesparati.com/av098/?r=AY{creative}"
"AV099","AV0504","PADRES Y MADRES DE HIJOS PEQUEÑOS (0-6 AÑOS)","Tu vida gira en torno a ellos, pero, ¿quién cuida de tu tranquilidad financiera?","Si tu energía está con tus hijos, tu dinero debería estar bien cuidado.","Esta semana es para quienes crían sin descanso… y sueñan con un futuro más estable.","https://lainversionsiesparati.com/av099/?r={{ad.id}}","https://lainversionsiesparati.com/av099/?r=AY{creative}"
"AV100","AV2748","PERIODISTAS DEPORTIVOS / ESPECIALIZADOS","Cuentas historias de éxito a diario… pero tu cuenta sigue en fuera de juego cada mes.","No basta con narrar grandes jugadas. También hay que aprender a hacerlas con tu dinero.","Esta semana es para quienes narran el juego de otros… pero quieren empezar a ganar el suyo.","https://lainversionsiesparati.com/av100/?r={{ad.id}}","https://lainversionsiesparati.com/av100/?r=AY{creative}"
"AV101","AV2749","PERIODISTAS Y COMUNICADORES","Informas con claridad cada día… pero cuando se trata de tu dinero, lo ves todo borroso.","Tu talento no debería vivir al borde de la incertidumbre económica.","Esta semana es para quienes escriben titulares cada día… pero sueñan con uno propio: libertad financiera.","https://lainversionsiesparati.com/av101/?r={{ad.id}}","https://lainversionsiesparati.com/av101/?r=AY{creative}"
"AV102","AV2750","PERSONAL DE LIMPIEZA","Dejas todo impecable a diario… pero sientes que tu futuro sigue empañado de incertidumbre.","Tu esfuerzo merece algo más que vivir contando los euros para llegar a fin de mes.","Esta semana es para quienes cuidan cada detalle… y quieren cuidar también su bienestar económico.","https://lainversionsiesparati.com/av102/?r={{ad.id}}","https://lainversionsiesparati.com/av102/?r=AY{creative}"
"AV103","AV2751","PERSONAL DE VIGILANCIA / CONTROL","Proteges todo… menos tu tranquilidad financiera.","Estás para otros, pero tu futuro sigue sin respaldo.","Esta semana es para quienes cuidan… y ya quieren cuidarse.","https://lainversionsiesparati.com/av103/?r={{ad.id}}","https://lainversionsiesparati.com/av103/?r=AY{creative}"
"AV104","AV2304","PERSONAS CON TDA","Has probado mil métodos para organizarte, pero ¿y si el problema no era ese?","Tu mente tiene un ritmo único, y eso también puede ser una ventaja.","Por eso esta semana no es una más: es la Semana de la Inversión si es para ti.","https://lainversionsiesparati.com/av104/?r={{ad.id}}","https://lainversionsiesparati.com/av104/?r=AY{creative}"
"AV105","AV2305","PERSONAS CON TOC","Controlar cada céntimo a veces no es seguridad: es ansiedad.","Tu necesidad de control puede ser tu aliada.","Esta semana no es solo de inversión, es una semana para sanar tu relación con el control.","https://lainversionsiesparati.com/av105/?r={{ad.id}}","https://lainversionsiesparati.com/av105/?r=AY{creative}"
"AV106","AV2303","PERSONAS CON ADICCIONES","Invertir en ti mismo puede ser el primer paso para creer que puedes volver a construir desde cero.","Esta es la Semana de la Inversión si es para ti.","El primer paso hacia la libertad no es solo dejar atrás lo que te daña, es aprender a tomar el control de lo que tienes.","https://lainversionsiesparati.com/av106/?r={{ad.id}}","https://lainversionsiesparati.com/av106/?r=AY{creative}"
"AV107","AV2752","PERSONAS CON BURNOUT","Trabajas sin parar, pero cada día cuesta más sostener el ritmo… y el equilibrio económico.","Si lo das todo por fuera, también mereces paz por dentro. Y en tu cuenta.","Esta semana es para quienes ya no pueden más… y buscan una salida que les devuelva el control.","https://lainversionsiesparati.com/av107/?r={{ad.id}}","https://lainversionsiesparati.com/av107/?r=AY{creative}"
"AV108","AV2302","PERSONAS CON FOBIAS","El miedo también se entrena.","El miedo puede limitarte, pero el control sobre tu dinero no tiene que ser uno de esos miedos.","Esta semana no es una más, es la Semana de la Inversión si es para ti.","https://lainversionsiesparati.com/av108/?r={{ad.id}}","https://lainversionsiesparati.com/av108/?r=AY{creative}"
"AV109","AV2762","PILOTOS Y PERSONAL AERONÁUTICO","Vuelas alto en tu trabajo… pero tu dinero sigue atado a tierra sin un plan claro.","La seguridad que das arriba también la mereces abajo.","Esta semana es para quienes viven en el aire… pero buscan aterrizar su libertad financiera.","https://lainversionsiesparati.com/av109/?r={{ad.id}}","https://lainversionsiesparati.com/av109/?r=AY{creative}"
"AV110","AV1909","POLICÍA","Eres quien responde en emergencias… ¿pero quién cuida tu estabilidad?","Siempre estás para todos. Ya toca pensar en ti.","Esta semana es para quienes viven al límite, pero quieren calma.","https://lainversionsiesparati.com/av110/?r={{ad.id}}","https://lainversionsiesparati.com/av110/?r=AY{creative}"
"AV111","AV0900","PROFESIONALES DE EDUCACIÓN","Preparas a tus alumnos para la vida… pero no a tu dinero para el futuro.","Sabes enseñar a otros, pero nunca te enseñaron a invertir en ti.","Esta semana puedes aprender una lección distinta: cómo cuidar de tu seguridad financiera.","https://lainversionsiesparati.com/av111/?r={{ad.id}}","https://lainversionsiesparati.com/av111/?r=AY{creative}"
"AV112","AV2763","PROFESIONALES DE LAS TIC","Resuelves problemas complejos cada día… pero tus finanzas siguen fuera de tu sistema de control.","Tanto conocimiento merece también estabilidad personal.","Esta semana es para quienes dominan la tecnología… pero aún no saben cómo hacer crecer su dinero.","https://lainversionsiesparati.com/av112/?r={{ad.id}}","https://lainversionsiesparati.com/av112/?r=AY{creative}"
"AV113","AV2764","PROFESIONALES DE VENTAS Y MARKETING","Tu sueldo depende de lo que vendes… ¿y si aprendieras a multiplicarlo?","Mover dinero no es vender más, es hacerlo con cabeza.","Esta semana es para quienes ya saben generar… pero no conservar.","https://lainversionsiesparati.com/av113/?r={{ad.id}}","https://lainversionsiesparati.com/av113/?r=AY{creative}"
"AV114","AV2765","PROGRAMADORES Y TÉCNICOS TIC","Tu código es sólido… pero tu economía aún está llena de errores que nadie te enseñó a solucionar.","Eres bueno optimizando… solo te falta hacerlo con tus finanzas.","Esta semana es para quienes automatizan procesos… pero quieren diseñar ellos mismos su futuro.","https://lainversionsiesparati.com/av114/?r={{ad.id}}","https://lainversionsiesparati.com/av114/?r=AY{creative}"
"AV115","AV2766","PROPIETARIOS DE 1 O MÁS VIVIENDAS SIN RENTABILIZAR","Tienes propiedades… pero sabes que tener ladrillos no es lo mismo que tener libertad.","Tu patrimonio puede darte mucho más si lo pones a trabajar con inteligencia.","Esta semana es para quienes no quieren más pisos vacíos… sino una estrategia que sí dé rentabilidad.","https://lainversionsiesparati.com/av115/?r={{ad.id}}","https://lainversionsiesparati.com/av115/?r=AY{creative}"
"AV116","AV0806","PSICÓLOGOS CLÍNICOS Y EDUCATIVOS","Escuchas problemas ajenos cada día… y pospones resolver los tuyos.","Cuidas lo emocional, pero sigues viviendo con ansiedad económica.","Puedes seguir ayudando a otros sin descuidarte tú. Esta semana marca el inicio de tu propia estabilidad.","https://lainversionsiesparati.com/av116/?r={{ad.id}}","https://lainversionsiesparati.com/av116/?r=AY{creative}"
"AV117","AV2767","PSICOPEDAGOGOS Y MAESTROS DE APOYO","Das herramientas a otros para avanzar… pero sientes que tú llevas tiempo sin moverte del sitio.","Tu vocación transforma vidas, pero no te ha dado la estabilidad que tú también necesitas.","Esta semana es para quienes dan apoyo constante… pero también merecen respaldo financiero real.","https://lainversionsiesparati.com/av117/?r={{ad.id}}","https://lainversionsiesparati.com/av117/?r=AY{creative}"
"AV118","AV2768","RECEPCIONISTAS / ATENCIÓN AL CLIENTE","Eres la cara amable de todo… pero tu cuenta no refleja el esfuerzo que haces cada día.","Estás para todos, todo el tiempo… pero aún no estás para ti cuando se trata de dinero.","Esta semana es para quienes sonríen cada día… pero quieren dejar de preocuparse cada fin de mes.","https://lainversionsiesparati.com/av118/?r={{ad.id}}","https://lainversionsiesparati.com/av118/?r=AY{creative}"
"AV119","AV1911","SETTER","No se trata solo de cerrar ventas, sino de construir activos.","No se trata solo de agendar citas: se trata de construir activos propios.","Tu trabajo exige dedicación y esfuerzo, pero también es momento de aprender a dejar que tu dinero trabaje para ti.","https://lainversionsiesparati.com/av119/?r={{ad.id}}","https://lainversionsiesparati.com/av119/?r=AY{creative}"
"AV120","AV2769","TÉCNICOS AGRÍCOLAS / AGROINDUSTRIA","Sientes que tu esfuerzo vale más de lo que refleja tu cuenta bancaria.","El campo te ha enseñado a ser constante y perseverante.","La Semana de la Inversión no es solo para financieros: es para quienes quieren un cambio real, incluso desde el campo.","https://lainversionsiesparati.com/av120/?r={{ad.id}}","https://lainversionsiesparati.com/av120/?r=AY{creative}"
"AV121","AV2770","TÉCNICOS CONTABLES / FINANCIEROS","Llevas cuentas, balances y proyecciones… pero tus finanzas personales no siguen ese orden.","Saber de números no siempre implica saber usarlos para uno mismo.","Esta semana es para quienes gestionan los números de otros… y quieren aprender a gestionar los suyos.","https://lainversionsiesparati.com/av121/?r={{ad.id}}","https://lainversionsiesparati.com/av121/?r=AY{creative}"
"AV122","AV2771","TÉCNICOS DE CIBERSEGURIDAD","Proteges sistemas todos los días… pero tu dinero sigue vulnerable sin un plan claro.","Tu seguridad digital es fuerte. Ahora toca fortalecer la financiera.","Esta semana es para quienes aseguran sistemas ajenos… pero aún no han asegurado su libertad financiera.","https://lainversionsiesparati.com/av122/?r={{ad.id}}","https://lainversionsiesparati.com/av122/?r=AY{creative}"
"AV123","AV2772","TÉCNICOS DE MANTENIMIENTO INDUSTRIAL","Revisas que todo funcione… pero nadie te enseñó cómo hacer que tus finanzas funcionen también.","Evitas que todo se detenga… pero tu tranquilidad financiera sigue sin funcionar bien.","Esta semana es para quienes reparan todo en su trabajo, pero no saben por dónde empezar con su dinero.","https://lainversionsiesparati.com/av123/?r={{ad.id}}","https://lainversionsiesparati.com/av123/?r=AY{creative}"
"AV124","AV2773","TÉCNICOS EN TELECOMUNICACIONES","Resuelves cortes y caídas de red… pero tu estabilidad financiera sigue sin buena conexión.","Sabes cómo llegar lejos con tecnología. Falta hacerlo con tu dinero.","Esta semana es para quienes conectan a otros cada día, y quieren empezar a conectarse con su futuro.","https://lainversionsiesparati.com/av124/?r={{ad.id}}","https://lainversionsiesparati.com/av124/?r=AY{creative}"
"AV125","AV2774","TRADERS DE BOLSA","Sabes leer el mercado, pero aún no has trazado un plan sólido para ti.","El trading es parte del juego. Pero no es toda la jugada.","Esta semana es para quienes operan con lógica… pero buscan estabilidad más allá del gráfico.","https://lainversionsiesparati.com/av125/?r={{ad.id}}","https://lainversionsiesparati.com/av125/?r=AY{creative}"
"AV126","AV2775","TRADERS DE CRIPTOMONEDAS","Vives pendiente del mercado, pero tu tranquilidad no debería depender de una vela roja.","No todo es volatilidad. También existe la estrategia.","Esta semana es para quienes saben de riesgo… y ahora quieren seguridad sin renunciar a crecer.","https://lainversionsiesparati.com/av126/?r={{ad.id}}","https://lainversionsiesparati.com/av126/?r=AY{creative}"
"AV127","AV2776","TRADUCTORES E INTÉRPRETES","Das sentido a lo que otros no entienden, pero nadie tradujo para ti las reglas del dinero.","Tu valor cruza idiomas. Ahora también puede cruzar hacia tu libertad financiera.","Esta semana es para quienes hacen de puente… y buscan uno hacia su propia tranquilidad.","https://lainversionsiesparati.com/av127/?r={{ad.id}}","https://lainversionsiesparati.com/av127/?r=AY{creative}"
"AV128","AV1805","VIAJERO","Si tu vida está hecha para recorrer el mundo.","Invertir sabiamente te permitirá mantener tu estilo de vida sin tener que preocuparte por tu futuro.","La Semana de la Inversión te mostrará cómo crear libertad sin renunciar a tu estilo de vida.","https://lainversionsiesparati.com/av128/?r={{ad.id}}","https://lainversionsiesparati.com/av128/?r=AY{creative}"
"AV129","AV1802","VOLUNTARIO","Siempre estás para otros… pero tú también necesitas apoyo a futuro.","Acompañar no basta si tú quedas para lo último.","Esta semana es para quienes se olvidan de sí mismos.","https://lainversionsiesparati.com/av129/?r={{ad.id}}","https://lainversionsiesparati.com/av129/?r=AY{creative}"
"AV130","AV1801","YOGUI","La verdadera paz también incluye tu relación con el dinero.","Buscar equilibrio en tu vida es importante, pero también lo es en tus finanzas.","La Semana de la Inversión puede enseñarte cómo integrarlo sin renunciar a tu esencia.","https://lainversionsiesparati.com/av130/?r={{ad.id}}","https://lainversionsiesparati.com/av130/?r=AY{creative}"
"AV131","AV2782","MUJERES","","","","https://lainversionsiesparati.com/av131/?r={{ad.id}}","https://lainversionsiesparati.com/av131/?r=AY{creative}"
"AV132","AV2781","SANITARIOS","","","","https://lainversionsiesparati.com/av132/?r={{ad.id}}","https://lainversionsiesparati.com/av132/?r=AY{creative}"
